DateTime, ElementId, ElementIndex, x, y, z, Depth, Width, XSectionArea, Dispersion, Temperature, TotalAdvDispHeatBalance, TotalExternalHeatFluxesBalance, TotalRadFluxesHeatBalance, TotalEvapFluxHeatBalance, TotalConvFluxHeatBalance, TotalHeatBalance
0, 0, 0, 0.1, 0, 0, 0.1, 0, 0.1, 0.1, 0, 0, 0, 0, 0, 0, 0
0, 1, 1, 0.3, 0, 0, 0.1, 0, 0.1, 0.1, 0, 0, 0, 0, 0, 0, 0
0, 2, 2, 0.5, 0, 0, 0.1, 0, 0.1, 0.1, 0, 0, 0, 0, 0, 0, 0
0, 3, 3, 0.7, 0, 0, 0.1, 0, 0.1, 0.1, 0, 0, 0, 0, 0, 0, 0
0, 4, 4, 0.9, 0, 0, 0.1, 0, 0.1, 0.1, 0, 0, 0, 0, 0, 0, 0
1.157407407e-05, 0, 0, 0.1, 0, 0, 0.1, 0, 0.1, 0.1, 0.8622882869, 0.01724576574, 0, 0, 0, 0, 0.01724576574
1.157407407e-05, 1, 1, 0.3, 0, 0, 0.1, 0, 0.1, 0.1, 0.5679885311, 0.01135977062, 0, 0, 0, 0, 0.01135977062
1.157407407e-05, 2, 2, 0.5, 0, 0, 0.1, 0, 0.1, 0.1, 0.322472989, 0.006449459779, 0, 0, 0, 0, 0.006449459779
1.157407407e-05, 3, 3, 0.7, 0, 0, 0.1, 0, 0.1, 0.1, 0.1540795102, 0.003081590204, 0, 0, 0, 0, 0.003081590204
1.157407407e-05, 4, 4, 0.9, 0, 0, 0.1, 0, 0.1, 0.1, 0.04666585384, 0.0009333170768, 0, 0, 0, 0, 0.0009333170768
2.314814815e-05, 0, 0, 0.1, 0, 0, 0.1, 0, 0.1, 0.1, 0.9142651212, 0.01828530242, 0, 0, 0, 0, 0.01828530242
2.314814815e-05, 1, 1, 0.3, 0, 0, 0.1, 0, 0.1, 0.1, 0.716985068, 0.01433970136, 0, 0, 0, 0, 0.01433970136
2.314814815e-05, 2, 2, 0.5, 0, 0, 0.1, 0, 0.1, 0.1, 0.5125318378, 0.01025063676, 0, 0, 0, 0, 0.01025063676
2.314814815e-05, 3, 3, 0.7, 0, 0, 0.1, 0, 0.1, 0.1, 0.3125501137, 0.006251002275, 0, 0, 0, 0, 0.006251002275
