DateTime, ElementId, ElementIndex, x, y, z, Temperature, UpstreamJunctionTemperature, DownstreamJunctionTemperature
0, 0, 0, 0.1, 0, 0, 0, 1, 0
0, 1, 1, 0.3, 0, 0, 0, 0, 0
0, 2, 2, 0.5, 0, 0, 0, 0, 0
0, 3, 3, 0.7, 0, 0, 0, 0, 0
0, 4, 4, 0.9, 0, 0, 0, 0, 0
1.157407407e-05, 0, 0, 0.1, 0, 0, 1.675801281e+79, 1, 1.453369889e+79
1.157407407e-05, 1, 1, 0.3, 0, 0, 1.230938497e+79, 1.453369889e+79, 1.032441771e+79
1.157407407e-05, 2, 2, 0.5, 0, 0, 8.339450442e+78, 1.032441771e+79, 6.70453523e+78
1.157407407e-05, 3, 3, 0.7, 0, 0, 5.069620019e+78, 6.70453523e+78, 3.754890503e+78
1.157407407e-05, 4, 4, 0.9, 0, 0, 2.440160987e+78, 3.754890503e+78, 0
2.314814815e-05, 0, 0, 0.1, 0, 0, 1.805567353e+79, 1, 1.638343031e+79
2.314814815e-05, 1, 1, 0.3, 0, 0, 1.471118709e+79, 1.638343031e+79, 1.298020515e+79
2.314814815e-05, 2, 2, 0.5, 0, 0, 1.124922321e+79, 1.298020515e+79, 9.48137077e+78
2.314814815e-05, 3, 3, 0.7, 0, 0, 7.713518332e+78, 9.48137077e+78, 5.892690539e+78
2.314814815e-05, 4, 4, 0.9, 0, 0, 4.071862745e+78, 5.892690539e+78, 0
3.472222222e-05, 0, 0, 0.1, 0, 0, 1.838320558e+79, 1, 1.685366996e+79
3.472222222e-05, 1, 1, 0.3, 0, 0, 1.532413433e+79, 1.685366996e+79, 1.366432517e+79
3.472222222e-05, 2, 2, 0.5, 0, 0, 1.200451601e+79, 1.366432517e+79, 1.020738805e+79
3.472222222e-05, 3, 3, 0.7, 0, 0, 8.410260083e+78, 1.020738805e+79, 6.45890815e+78
3.472222222e-05, 4, 4, 0.9, 0, 0, 4.507556218e+78, 6.45890815e+78, 0
