DateTime, ElementId, ElementIndex, x, y, z, Temperature, UpstreamJunctionTemperature, DownstreamJunctionTemperature
0, 0, 0, 0.1, 0, 0, 0, 1, 0
0, 1, 1, 0.3, 0, 0, 0, 0, 0
0, 2, 2, 0.5, 0, 0, 0, 0, 0
0, 3, 3, 0.7, 0, 0, 0, 0, 0
0, 4, 4, 0.9, 0, 0, 0, 0, 0
1.157407407e-05, 0, 0, 0.1, 0, 0, 1875.272907, 1, 8248.952069
1.157407407e-05, 1, 1, 0.3, 0, 0, 14622.63123, 8248.952069, 39229.91738
1.157407407e-05, 2, 2, 0.5, 0, 0, 63837.20353, 39229.91738, 190705.3037
1.157407407e-05, 3, 3, 0.7, 0, 0, 317573.4039, 190705.3037, 1073992.026
1.157407407e-05, 4, 4, 0.9, 0, 0, 1830410.649, 1073992.026, 0
2.314814815e-05, 0, 0, 0.1, 0, 0, 4.61624006e+10, 1, 2.57675259e+11
2.314814815e-05, 1, 1, 0.3, 0, 0, 4.691881173e+11, 2.57675259e+11, 1.717139319e+12
2.314814815e-05, 2, 2, 0.5, 0, 0, 2.965090521e+12, 1.717139319e+12, 1.054129731e+13
2.314814815e-05, 3, 3, 0.7, 0, 0, 1.81175041e+13, 1.054129731e+13, 6.423876461e+13
2.314814815e-05, 4, 4, 0.9, 0, 0, 1.103600251e+14, 6.423876461e+13, 0
3.472222222e-05, 0, 0, 0.1, 0, 0, 2.776133161e+18, 1, 1.54966067e+19
3.472222222e-05, 1, 1, 0.3, 0, 0, 2.821708025e+19, 1.54966067e+19, 1.032719706e+20
3.472222222e-05, 2, 2, 0.5, 0, 0, 1.783268609e+20, 1.032719706e+20, 6.339835057e+20
3.472222222e-05, 3, 3, 0.7, 0, 0, 1.089640151e+21, 6.339835057e+20, 3.863519885e+21
3.472222222e-05, 4, 4, 0.9, 0, 0, 6.637399619e+21, 3.863519885e+21, 0
4.62962963e-05, 0, 0, 0.1, 0, 0, 1.669653701e+26, 1, 9.320146145e+26
